1_predict,2_predict,3_predict
0.6161894,0.6298184,0.61825323
0.6165583,0.62925273,0.61353177
0.5996895,0.6301414,0.61404175
0.5962277,0.62560946,0.61088634
0.61209244,0.6243065,0.6049181
0.6123487,0.62925076,0.61124825
0.6123487,0.6291973,0.61055034
0.65042216,0.63381875,0.617338
0.65119237,0.63271636,0.623244
0.6687097,0.6348901,0.62256515
0.6682367,0.6433756,0.6383376
0.66860837,0.64316726,0.6357476
0.64445883,0.6526084,0.6383974
0.6527111,0.65569943,0.6371081
0.66275173,0.665388,0.6652132
0.6674139,0.668442,0.64696497
0.67023844,0.67152935,0.6485195
0.67463374,0.66682637,0.64860207
0.6748854,0.6653224,0.64642876
0.6754192,0.66827154,0.6487068
0.6758261,0.6705104,0.64769
0.67535186,0.656958,0.6460848
0.6665331,0.65570796,0.64636517
0.66687685,0.6669632,0.6447725
0.66655165,0.6659881,0.6470557
0.6658573,0.6721551,0.63958716
0.66787267,0.67208564,0.6397624
0.6682159,0.67143726,0.6385427
0.66787267,0.6659544,0.6389843
0.6658573,0.6674285,0.6459916
0.6653216,0.66831565,0.64852816
0.66558033,0.6663401,0.6413014
0.66745985,0.6665949,0.6519193
0.66732424,0.6673646,0.6637744
0.665642,0.6660536,0.67440134
0.66762656,0.67406285,0.67818856
0.6673405,0.67426133,0.66920245
0.6673405,0.67357105,0.6661536
0.66762656,0.67306024,0.66556144
0.66703373,0.6755816,0.6638228
0.6677093,0.67640364,0.6770492
0.6666428,0.6842739,0.67552817
0.6668258,0.68820727,0.67303914
0.6668258,0.68820727,0.67308193
0.66640073,0.6842739,0.6796442
0.6666277,0.6842739,0.685213
0.6666277,0.6842739,0.68132013
0.6661524,0.6844158,0.68066627
0.6661524,0.6843461,0.68010396
0.6661524,0.68612283,0.67923063
0.6642427,0.68612283,0.6758918
0.65635455,0.684449,0.6759272
0.65519,0.6763695,0.6708587
0.65519,0.67594045,0.6696291
0.6514861,0.6756149,0.67125845
0.65147394,0.67637277,0.6695329
0.65115327,0.68039685,0.67969716
0.6510749,0.68421924,0.6770147
0.6510749,0.6843461,0.6770954
0.663826,0.68529797,0.6782704
0.6510749,0.6865269,0.6882604
0.66430813,0.6819826,0.6806038
0.6517474,0.6858291,0.68262947
0.6517474,0.6822057,0.6821416
0.65159506,0.6821326,0.6827358
0.66434616,0.6757743,0.6753708
0.66434616,0.6815425,0.680777
0.6766016,0.6814557,0.6831663
0.676642,0.7044511,0.6849512
0.6765787,0.7068372,0.68582606
0.67685276,0.7194179,0.6835636
0.6772036,0.7069209,0.6919297
0.6769725,0.7175164,0.6912142
0.6769725,0.7151216,0.69476676
0.67629904,0.71454144,0.69408435
0.67629904,0.71438485,0.7084463
0.6769725,0.7117044,0.6911551
0.66689694,0.7111017,0.68435854
0.6666906,0.70491886,0.6825276
0.666731,0.7071395,0.6835994
0.6660012,0.70712924,0.6814645
0.66675645,0.7049652,0.6779292
0.66675645,0.6752406,0.67343515
0.66547465,0.68476826,0.6792989
0.6672804,0.68044317,0.68423134
0.6655304,0.70548326,0.70239615
0.6666813,0.7151541,0.7145017
0.6677957,0.71368945,0.7102974
0.667762,0.71267045,0.7096275
0.65693504,0.7134417,0.7115574
0.65744835,0.7121501,0.70766985
0.65980387,0.6994635,0.7076398
0.6593228,0.7105536,0.70947254
0.66435844,0.71199244,0.71018755
0.6646375,0.7129858,0.7038601
0.66482925,0.7121049,0.7014583
0.66560286,0.7124201,0.7083711
0.6678815,0.7120163,0.7068227
0.6666367,0.71281123,0.710161
0.667128,0.7146945,0.7100947
0.6672477,0.71510005,0.7073283
0.6671359,0.7130785,0.710482
0.6661147,0.7136143,0.7119119
0.66677797,0.7119411,0.7136793
0.6669266,0.71479267,0.71475303
0.668784,0.71576244,0.70999265
0.6652395,0.7149114,0.7098112
0.66482925,0.7119465,0.71017677
0.66493195,0.7143608,0.7070799
